Sentence1,Sentence2
Story about descendants of space colonists becoming slaves of aliens?,"Short story about humans as beasts of burden for another race, read about 30 years ago"
,
Book where the stars go black due to aliens stopping human observation collapsing quantum possibilities,Book where human thoughts are affecting the universe
,
"Did Luke Skywalker know the name ""Darth Sidious""?",Was Luke aware the Emperor was a Sith Lord?
,
Science fiction radio drama: aliens find Earth deserted,Science Fiction story about humans escaping earth's destruction
,
Why did Jon Snow want to join the Night’s Watch?,Why do people go to the Wall in Game of Thrones?
,
"Lottery winner has brain uploaded, then travels in a starship",Looking for sci-fi novel I read about humanity finding alien station on orbit of Earth
,
How does Charles Xavier pay for all of the gadgets at the X-Mansion?,Where do the X-Men get all their money/funding?
,
"Did Starkiller base have a hyperdrive? If so, what class?","How is the Starkiller Base supposed to work more than one time, given how it draws its power?"
,
Science Fiction Story About Two Kids That Build A Spaceship Pre-1994,"And now, for something completely different: The mushrooms are among us"
,
"Which ""Earth"" is seen in ""Crossroads, Part II""?",Why did the original-Earth have continents that resembled the ones on the final-Earth?
,
Why did Biff come back to the same timeline in the future?,"In Back to the Future Part II, why is old Biff in a lot of pain?"
,
"Movie where a man was put into a computer before death, wife doesn't trust him anymore",A movie about artificial intelligence gone rogue
,
Is there a way that Fury was not himself since the beginning of the MCU?,How long has Talos been on Earth impersonating this character?
,
TV series about a young boy looking for glowing and spiky crystals,90s (or early 2000s) scifi (mini)series where a boy and old man chase a black guy in metal suit
,
Book about an amphibian race at the centre of the Earth,Teenagers find an ancient lizard creature in stasis and accompany him on adventures to an undersea city
,
Book/story where people are living in a collective illusion and the real world is crap,"Very old Matrix-like short story, based on chemicals released into the air, pre-computer"
,
"short story I read in grade school in the mid 1970s - scientifically curious boy reads the ingredient list on his breakfast cereal box,",Looking for a short story about a boy discovering that the government puts mind control chemicals in his cereal
,
Dystopian sci-fi film about population-controlled future society,Movie about a civilization with limited life span and an integrated light indicator in their hands showing when they were about to die
,
What is the movie/show where a boy and a girl enter a video game?,TV series about children ending up in father's computer game
,
"What movie had an AI computer called ""Shoshone""?",Space movie with alien probe that makes the crew turn homicidal
,
1970s (?) book where teacher flies in a balloon and crash-lands on mysterious island,"Book based on ""Around the World in 80 Days"", with the main character travelling quickly around the world in a balloon"
,
Why is Ersos' house on Lah'mu so similar to Lars' homestead?,What are these things that look like vaporators?
,
Is Earth even mentioned in any Star Wars stories (including the extended universe)?,Has any reference been made to Earth or the Milky Way in Star Wars EU?
,
"How do the ages of Flamel, Dumbledore, etc. work out?",How is it possible that Dumbledore worked on the Philosopher's stone with Flamel?
,
Was Durin's Bane the last Balrog on Middle-earth?,"After Gandalf kills the Balrog of Moria, do any more Balrogs remain in Middle-earth?"
,
Why don't wizards always use multiple wands?,Why don't wizards use more than one wand in casting spells for battle?
,
Novel about a chase around the world with ubiquitous use of Augmented Reality,"Story where radically different cultures live together and are defined by rulesets, some choose not to see each other, a house is used as a spaceship"
,
Time travel novel with dragons and an old truck,Trying to remember story or novel with a non-functioning assassin robot
,
Human and alien stranded on a barren world. Initially enemies but come to respect each other,Looking for a sci-fi movie in which a human astronaut befriends an alien on a reddish planet
,
Trying to remember the name of a series I saw around 15 years ago,Female main character in an ice world earning gems/runes
,
What is the size of Skull Island in Kong:Skull Island (2017) movie?,Would the Skull Island be enough to feed King Kong?
,
Anime from the 80s with a man dressed like Robin Hood,Cartoon with a young unicorn and a demon
,
How did Tom Riddle first find out about Horcruxes?,Why did Hogwarts Library carry a book containing information on horcruxes if it was a banned subject?
,
Does the number of hands on the Weasley clock ever change?,Who is included on the Weasley's clock?
,
Short story where humans meet a six-fingered primitive alien race that turns out to be smarter than humans,"SF short story ID, written 40s—60s, primitive aliens who are much smarter than us"
,
Does the number of hands on the Weasley clock ever change?,Who is included on the Weasley's clock?
,
Are there other Gringotts branches in the world beside the one in Diagon Alley?,Is Gringotts really the only worldwide wizarding bank?
,
Film involving modern soldiers in a jungle/forest fighting large vine creatures - similar feel to Predator,"1990s film, knockoff of Alien and Predator franchises, included a jetpack and a fanged frisbee"
,
What happened to the Muggles who were home or away?,Did the Obliviate-in-the-rain spell with the Thunderbird at the end of Fantastic Beasts affect those who were indoors?
,
Short Story About an Empty Space Station with Increasingly Large Rooms,Short story about an endless space ship
,
What is the role of command track officers in Starfleet?,"In Star Trek, what are all the low-ranking Command Division officers doing?"
,
Cartoon with a boy that has a red rhino monster and chases and fights other monsters,"Cartoon TV Show About Three Kids and Monsters and a ""veil"" between realms"
,
A book using advanced science to act as magic,Post-apocalyptic book where people can enhance or alter their appearance with animal qualities
